"name","sku","description","type"
"Mother Tara Print","GT-2-PL-PR","Mother Tara (Jetsun Dolma, in Tibetan) Print
Custom 8 X 10 Art Print","
Tara was born of a tear of Avalokiteshwara ~ she is the Mother of Compassion who answers all prayers. Tara appears in as many as 21 different forms and colors, of which White and Green are the oldest. Tara offers health, long life, growth, prosperity and protection to all who call on her."
"Virgin of Guadalupe Embellished Print","GUAD-OH-EMB-PR","""I am your merciful mother, the merciful mother of all of you who live united in this land, and of all mankind, of all those who love me, of those who cry to me, of those who seek me, of those who have confidence in me. Don't worry about anything. Am I not here, I who am your mother? Are you not under my protection?","
Custom Print, Hand-Embellished With Glitter And Crystals"
"Our Lady of Guadalupe Print","GUAD-OH-PL-PR","<h1 class=""CWproductName""> </h1>","none"
"Praying Angel Candle","CAN-AN-PRY","Praying Angel, Holding Incense and a Tall Candle, Candle","
3 X 6 White, unscented, wax pillar candle with a lead-free wick. Burn time 50-60 hours."
"Lord Hanuman Card","HAN-2-PL","God of Loyalty, Devotion and Service, Hanuman inspires us to develop strength and purity to become perfect servants of the Divine. ""I salute, by bowing down my head, the messenger of Sri Rama, Hanuman, who travels as fast as the mind and the wind, who has won over his sense organs, who is the best among the intelligent, who is the son of the wind god and who is the commander in chief of the army of monkeys.""","
Greeting Card With White Envelope"
"Lord Hanuman Embellished Print","HAN-EMB-PR","God of Loyalty, Devotion and Service, Hanuman inspires us to develop strength and purity to become perfect servants of the Divine. ""I salute, by bowing down my head, the messenger of Sri Rama, Hanuman, who travels as fast as the mind and the wind, who has won over his sense organs, who is the best among the intelligent, who is the son of the wind god and who is the commander in chief of the army of monkeys.""","
Custom Print Hand-Embellished With Glitter and Crystals"
"Lord Hanuman Embellished Print","HAN-2-EMB-PR","God of Loyalty, Devotion and Service, Hanuman inspires us to develop strength and purity to become perfect servants of the Divine. ""I salute, by bowing down my head, the messenger of Sri Rama, Hanuman, who travels as fast as the mind and the wind, who has won over his sense organs, who is the best among the intelligent, who is the son of the wind god and who is the commander in chief of the army of monkeys.""","
Custom Print Hand-embellished with Glitter and Crystals"
"Lord Hanuman Print","HAN-2-PL-PR","God of Loyalty, Devotion and Service, Hanuman inspires us to develop strength and purity to become perfect servants of the Divine. ""I salute, by bowing down my head, the messenger of Sri Rama, Hanuman, who travels as fast as the mind and the wind, who has won over his sense organs, who is the best among the intelligent, who is the son of the wind god and who is the commander in chief of the army of monkeys.""","
Custom Print"
"Hanuman Print","HAN-PL-PR","Custom Print",""
"Jesus Christ In The Wilderness Card","JE-LO-PL","Jesus Christ In The Wilderness, In The Lotus Posture, Card","
Greeting Card With Matching Envelope"
"Jesus Christ in Lotus Posture Print","JE-LO-PL-PR","Jesus Christ in Lotus Posture Print. The Lord is my shepherd; I shall not want. He maketh me to lie down in green pastures: he leadeth me beside the still waters. He restoreth my soul: he leadeth me in the paths of righteousness for his name's sake. Yea, though I walk through the valley of the shadow of death, I will fear no evil: for thou art with me; thy rod and thy staff they comfort me. Thou preparest a table before me in the presence of mine enemies: thou anointest my head with oil; my cup runneth over. Surely goodness and mercy shall follow me all the days of my life: and I will dwell in the house of the Lord for ever. ~ 23rd Psalm","
Custom Print"
"Jesus In The Wilderness Embellished Print","JE-LO-EMB-PR","The Lord is my shepherd; I shall not want. He maketh me to lie down in green pastures: he leadeth me beside the still waters. He restoreth my soul: he leadeth me in the paths of righteousness for his name's sake. Yea, though I walk through the valley of the shadow of death, I will fear no evil: for thou art with me; thy rod and thy staff they comfort me. ~ 23rd Psalm","
Custom Print Hand-Embellished With Glitter and Crystals"
"Mary and Child Embellished Print","MC-MOD-EMB-PR","Mary and Child Embellished Print","
Custom Print, Hand-Embellished With Glitter and Crystals"
"Mary and Child Under a Riza Embellished Print","MC-RIZA-EMB-PR","Orthodox Icon of Mary and Child protected under a Metal Riza. Rizas, or revements, serve to protect the icon against incence smoke and oil lamps. They are usually made of silver and/or gold and sometimes inlaid with precious stones and pearls.","
Custom Print, Hand-Embellished With Glitter and Crystals"
"Jesus Christ Print","JE-OAK-PL-PR","Jesus Meditates Under The Oak","
Custom Print"
"Krishna and Radha Embellished Print","K&R-2-EMB-PR","Lord Krishna and Radha, The Divine Couple","
Custom Print Hand-Embellished With Glitter and Crystals"
"Krishna and Radha Print","K&R-2-PL-PR","Lord Krishna is the eighth incarnation of Lord Vishnu. He is the supreme<br />statesman, warrior, hero, teacher and philosopher, and author of the Bhagavad Gita. He has been called 'The Divine Ecstatic' because the sound of Krishna's flute beckons souls to awaken and to become absorbed in the call of the Divine. Radha is Lord Krishna's consort. She symbolizes the individual soul that yearns for, and then awakens to the love of God: finally realizing complete Divine Union.","
Custom Print"
"Krishna & Radha Embellished Print","K&R-EMB-PR","Lord Krishna is the eighth incarnation of Lord Vishnu. He is the supreme<br />statesman, warrior, hero, teacher and philosopher, and author of the Bhagavad Gita. He has been called 'The Divine Ecstatic' because the sound of Krishna's flute beckons souls to awaken and to become absorbed in the call of the Divine. Radha is Lord Krishna's consort. She symbolizes the individual soul that yearns for, and then awakens to the love of God: finally realizing complete Divine Union.","
Custom Print Hand-Embellished With Glitter and Crystals"
"Krishna & Radha Card","K&R-PL","Radha Krishna, The Divine Couple, Card","
Greeting Card With Matching Envelope"
"Krishna & Radha Print","K&R-PL-PR","Lord Krishna is the eighth incarnation of Lord Vishnu. He is the supreme statesman, warrior, hero, teacher and philosopher, and author of the Bhagavad Gita. He has been called 'The Divine Ecstatic' because the sound of Krishna's flute beckons souls to awaken and to become absorbed in the call of the Divine. Radha is Lord Krishna's consort. She symbolizes the individual soul that yearns for, and then awakens to the love of God: finally realizing complete Divine Union.","Custom Print"
"Goddess Kali Embellished Print","KAL-BLK-EMB-PR","Slayer of Time &amp; Death, Destroyer of Illusion: Kali literally means both 'death' and 'time.' Goddess Kali represents the state where time, space and causation have disappeared. She is both the destroyer and creatrix and is the consort of Lord Shiva. ""My child, you need not know much in order to please Me.  Only Love Me dearly. Speak to me, as you would talk to your mother, if she had taken you in her arms.""","
Custom Print Hand-Embellished With Glitter and Crystals"
"Goddess Kali Print","KAL-BLK-PL-PR","Slayer of Time &amp; Death, Destroyer of Illusion: Kali literally means both 'death' and 'time.' Goddess Kali represents the state where time, space and causation have disappeared. She is both the destroyer and creatrix and is the consort of Lord Shiva. ""My child, you need not know much in order to please Me.  Only Love Me dearly. Speak to me, as you would talk to your mother, if she had taken you in her arms.""","
Custom Print"
"Kali Ma Card","KAL-BLK-PL","Kali Ma, In Her Black Form, Card","
Greeting Card With Matching Envelope"
"Goddess Kali Embellished Print","KAL-BLU-EMB-PR","Slayer of Time &amp; Death, Destroyer of Illusion - Only when you drink from the river of silence shall you indeed sing. And when you have reached the mountain top, then you shall begin to climb. And when the earth shall claim your limbs, then you shall truly dance.","
Custom Print Hand-Embellished With Glitter and Crystals"
"Maha Kali Embellished Print","MAH-KAL-EMB-PR","Maha Kali, Feminine Destroyer and Creatrix","
Custom Print Hand-Embellished With Glitter and Crystals"
"Goddess Kali Print","KAL-BLU-PL-PR","Slayer of Time &amp; Death, Destroyer of Illusion - Only when you drink from the river of silence shall you indeed sing. And when you have reached the mountain top, then you shall begin to climb. And when the earth shall claim your limbs, then you shall truly dance.","
Custom Print"
"Kuan Yin Riding the Dragon Embellished Print","KY-DG-EMB-PR","Kuan YinRiding the Dragon. Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'
 ","
Custom Print Hand-Embellished With Glitter and Crystals"
"Kuan Yin With Nectar of Compassion Embellished Print","KY-NC-EMB-PR","Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'","
Custom Print Hand-Embellished With Glitter and Crystals "
"Kuan Yin Print","KY-DG-PL-PR","Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'","
Custom 8 X 10 Art Print"
"&quot;Love You&quot; Card","M-LV-U-PL","""Love You"" Card, Image (The Kiss) by Gustav Klimt","
Greeting Card With Matching Envelope"
"Kuan Yin Riding The Dragon Card","KY-DG-PL","Kuan Yin Riding The Dragon On Stormy Seas Card","
Greeting Card With Matching Envelope"
"Kuan Yin On a White Lotus Embellished Print","KY-LO-EMB-PR","""Listen to the deeds of Kuan Yin responding compassionately on every side with great vows, deep as the ocean, through inconceivable periods of time, serving innumerable Buddhas, giving great, clear, and pure vows. To hear her name, to see her body, to hold her in the heart, is not in vain, for she can extinguish the suffering of existence."" ~ From the Buddhist Lotus Sutra","
Custom Print Hand-Embellished With Glitter and Crystals"
"Kuan Yin On Lotus Card","KY-LO-PL","Buddhist Goddess of Compassion, Kwan Yin Card","
Greeting Card With Matching Envelope"
"Goddess Green Tara","GT-3-PL","<span class=""normal"">Goddess Green Tara, Female Buddha of Enlightened Activity Card</span>","
Greeting Card With Matching Envelope"
"Kuan Yin Print","KY-LO-PL-PR","""Listen to the deeds of Kuan Yin responding compassionately on every side with great vows, deep as the ocean, through inconceivable periods of time, serving innumerable Buddhas, giving great, clear, and pure vows. To hear her name, to see her body, to hold her in the heart, is not in vain, for she can extinguish the suffering of existence."" ~ From the Buddhist Lotus Sutra","
Custom 8 X 10 Art Print"
"Kuan Yin Embellished Print","KYLP-EMB-PR","Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'","
Custom Print Hand-Embellished With Glitter and Crystals"
"Kuan Yin In Lordly Pose Print","KYLP-PL-PR","Kuan Yin is the Bodhisattva of Compassion. Her name means ""Hearer of the Cries of the World."" She is the most beloved and revered of the Chinese deities. Kuan Yin is the Divine Mother we all long for: merciful, tender, compassionate, loving, protecting and wise. She quietly comes to the aid of her children everywhere. Her mantra is 'Om Mani Padme Hum&sbquo;' or 'Hail the Jewel (or pearl) in the Lotus.'","
Custom 8 X 10 Art Print"
"Goddess Lakshmi Embellished Print","LAK-EL-EMB-PR","Goddess of Love, Beauty and Prosperity: Salutations to you, Oh Goddess Lakshmi. You are the divine mother, the seat of all prosperity, and worshipped even by the Gods. You hold the conch, the divine wheel and the mace in your hands. We worship the great Goddess and all Hail to the spouse of Vishnu. May Mother Lakshmi stimulate us and make us flourish.","
Custom Print Hand-Embellished With Glitter And Crystals"
"Goddess Lakshmi Print","LAK-EL-PL-PR","Goddess of Love, Beauty and Prosperity: Salutations to you, Oh Goddess Lakshmi. You are the divine mother, the seat of all prosperity, and worshipped even by the Gods. You hold the conch, the divine wheel and the mace in your hands. We worship the great Goddess and all Hail to the spouse of Vishnu. May Mother Lakshmi stimulate us and make us flourish.","
Goddess Lakshmi 8 X 10 Custom Art Print"
"Angelic Musicians Card","AN-MUS-PL","Angelic Musicians Playing In The Rain Card","
<span class=""smallPrint"">Greeting Card With Matching Envelope</span>"
"Lakshmi Print","LAK-PL-PR","Custom Print",""
"Rama Embellished Card","LD-RAM-EMB","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope",""
"Kali Embellished Card","MAH-KAL-EMB","Maha Kali, Feminine Destroyer and Creatrix","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Mother Mary Print","MAR-HT-1-PL-PR","Hail Mary! Again and again we greet the Mother of God and our Mother sweet. We look on that beautiful, loving face so full of glory, so full of grace. And we sigh for the day when we shall rest in thy tender arms, on thy loving breast. The day when our exile will be past, when thou shalt show us thy Child at last. ~ Cardinal Wiseman","
Custom Print"
"Purple Dragon Embellished Print","P-DR-PB-EMB-PR","Purple Dragon","
From an Original Watercolor by Santa Fe Artist Patti Blair"
"Mary Embellished Print","MAR-HT-1-EMB-PR","Custom Print Hand-embellished with Glitter and Crystals",""
"Immaculate Mary Embellished Print","MAR-IM-EMB-PR","""O Virgin Mary, My Mother. I give to your Immaculate Heart, my body and my soul, my thoughts and my actions. I want to be what you want me to be, and do just what you want me to do. I am not afraid because you are always with me.","
Custom Print, Hand-Embellished With Glitter and Crystals"
"Immaculate Mary Print","MAR-IM-PL-PR","Immaculate Mary Print
Custom Art Print","
""O Virgin Mary, My Mother. I give to your Immaculate Heart, my body and my soul, my thoughts and my actions. I want to be what you want me to be, and do just what you want me to do. I am not afraid because you are always with me. Help me to love your Son Jesus, with all my heart. And above all things, take my hand in yours so I can always be with you. Amen."""
"Ostra Brama Mary Embellished Print","MAR-OB-EMB-PR","Ostra Brama Mary - Circa 1570, this icon is presently found in he chapel of the Dawn Gate of Vilinius, in Lithuania. The Madonna's crossed hands show an attitude of prayer and the Mother is depicted without the Child. In 1927 Our Lady of the Dawn Gate was given Papal recognition as a holy pilgrimage site.","
Custom Print, Hand-Embellished With Glitter and Crystals"
"Ostra Brama Mary Print","MAR-OB-PL-PR","Ostra Brama Mary - Circa 1570, this icon is presently found in he chapel of the Dawn Gate of Vilinius, in Lithuania. The Madonna's crossed hands show an attitude of prayer and the Mother is depicted without the Child. In 1927 Our Lady of the Dawn Gate was given Papal recognition as a holy pilgrimage site.","
8 X 10 Custom Print"
"Red Dragon Embellished Print","DRAG-RD-EMB-PR","The Red Dragon","
Hand-Embellished Print With Glitter and Cyrstals"
"Ostra Brama Mary Card","MAR-OB-PL","Ostra Brama Mary Of Lithuania Card","
Greeting Card With Matching Envelope"
"Mother Mary Card","MAR-ROS-PL","Mother Mary With A Rose Card","
Greeting Card With Matching Envelope"
"Mary and Child Embellished Print","MC-LIL-EMB-PR","A Child's Prayer to Mary of the Lilies - ""O Virgin Mary, My Mother. I give to your Immaculate Heart, my body and my soul, my thoughts and my actions. I want to be what you want me to be, and do just what you want me to do. I am not afraid because you are always with me. Help me to love your Son Jesus, with all my heart. And above all things, take my hand in yours so I can always be with you. Amen.""","
Custom Print Hand-Embellished With Glitter and Crystals"
"Mother and Child  Print","MC-LIL-PL-PR","A Child's Prayer to Mary of the Lilies - ""O Virgin Mary, My Mother. I give to your Immaculate Heart, my body and my soul, my thoughts and my actions. I want to be what you want me to be, and do just what you want me to do. I am not afraid because you are always with me. Help me to love your Son Jesus, with all my heart. And above all things, take my hand in yours so I can always be with you. Amen.""","
8 X 10 Art Print"
"White Tara, Mother of Compassion, Print","WT-CL-PL-PR","Goddess of Health, Long Life and Prosperity - Tara was born of a tear of Avalokiteshwar. She is the Mother of Compassion who answers all prayers. Tara appears in as many as 21 different forms and colors, of which White and Green are the oldest. Tara offers health, long life, growth, prosperity and protection to all who call on her.","
Custom 8 X 10 Art Print"
"White Tara, Mother of Compassion, Card","WT-CL-PL","White Tara, Mother of Compassion, Card","
Greeting Card With Matching Envelope"
"Lord Vishnu Card","VISH-2-PL","Lord Vishnu, The Preserver, Lord of The Heart, Card","
Greeting Card With Matching Envelope"
"Peace Candle","CAN-PEACE","White Dove Peace Candle","
3 X 6 White, unscented, wax pillar candle with a lead-free wick. Burn time 50-60 hours."
"Lord Vishnu Embellished Print","VISH-EMB-PR","The Preserver, Lord of the Heart - ""I bow to Vishnu, with the benign form, reclining on the serpent. The lotus issues forth from the navel and He is the very universe. He is the supreme among the Gods, the consort of Lakshmi, and He resplendent like the sky, and the color of the clouds and with auspicious limbs. His eyes are beautiful like the lotus and He is ever in the hearts of His bevolved devotees. He is the one and only Lord of all this universe and can save us from the cycle of repeated births and deaths.
Hand-Embellished Print with Glitter and Crystals","
 "
"Maa Durga Embellished Print","DUR-3-EMB-PR","Hindu Goddess Maa Durga, Banisher of Darkness Embellished Print
 ","
Custom Print, Hand-Embellished With Glitter and Crystals"
"Lord Vishnu Print","VISH-PL-PR","The Preserver, Lord of the Heart - ""I bow to Vishnu, with the benign form, reclining on the serpent. The lotus issues forth from the navel and He is the very universe. He is the supreme among the Gods, the consort of Lakshmi, and He resplendent like the sky, and the color of the clouds and with auspicious limbs. His eyes are beautiful like the lotus and He is ever in the hearts of His bevolved devotees. He is the one and only Lord of all this universe and can save us from the cycle of repeated births and deaths.""","
Custom Print"
"Lord Vishnu Card","VISH-PL","Hindu God Vishnu, The Preserver, Card","
Greeting Card With Matching Envelope"
"Buddha Graffiti Candle","CAN-BUD-AK","Buddha Graffiti by Ann Kay, Candle","
3 X 6 White, unscented, wax pillar candle with a lead-free wick. Burn time 50-60 hours."
"Virgin Card","VIR-JS-PL","Greeting Card With White Envelope",""
"Archangel Uriel Embellished Card","URI-MOS-EMB","Archangel Uriel Master of Divine Order, Natural Harmony and Balance Embellished Card","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Green Tara Print","GT-1-PL-PR","Green Tara... Goddes of Health, Long Life, and Prosperity Print
Custom 8 X 10 Art Print","
Tara was born of a tear of Avalokiteshwara -- she is the Mother of Compassion who answers all prayers. Tara appears in as many as 21 different forms and colors, of which White and Green are the oldest. Tara offers health, long life, growth, prosperity and protection to all who call on her."
"Green Tara Card","GT-1-PL","Green Tara, Goddess Of Health, Long Life, and Prosperity Card","
Greeting Card With Matching Envelope"
"Lord Shiva Embellished Print","SHI-N-EMB-PR","Lord Shiva is the third deity in the Hindu Triad. Shiva represents the aspect of the Supreme Reality that continuously dissolves and recreates the universe. He is the Lord of Mercy and Compassion since without the cyclic process of evolution souls could not evolve and attain liberation. Shiva protects his devotees from lust, greed, and anger. He is the most kind-hearted God who grants boons and bestows grace to his devotees.","
Custom Print Hand-Embellished With Glitter and Crystals"
"Goddess Shakti Embellished Print","SHAK-4-CL-EMB-PR","Hindu Goddess Shakti, The Feminine Creatrix","
Hand-Embellished Print With Glitter and Cyrstals"
"Lord Shiva Card","SHI-N-PL","Lord Shiva, <span>Third Deity in The Hindu Triad,</span> Card","
Greeting Card With Matching Envelope"
"Lord Shiva Print","SHI-N-PL-PR","Lord Shiva is the third deity in the Hindu Triad. Shiva represents the aspect of the Supreme Reality that continuously dissolves and recreates the universe. He is the Lord of Mercy and Compassion since without the cyclic process of evolution souls could not evolve and attain liberation. Shiva protects his devotees from lust, greed, and anger. He is the most kind-hearted God who grants boons and bestows grace to his devotees.","
Custom Print"
"Lord Shiva Embellished Print","SHI-D-EMB-PR","Lord Shiva is the third deity in the Hindu Triad. Shiva represents the aspect of the Supreme Reality that continuously dissolves and recreates the universe.  He is the Lord of Mercy and Compassion since without the cyclic process of evolution, souls could not evolve and attain liberation.","
Custom Print Hand-Embellished With Glitter and Crystals"
"Lord Shiva Print","SHI-D-PL-PR","Lord Shiva is the third deity in the Hindu Triad. Shiva represents the aspect of the Supreme Reality that continuously dissolves and recreates the universe.  He is the Lord of Mercy and Compassion since without the cyclic process of evolution, souls could not evolve and attain liberation.","
Custom Print"
"Lord Shiva Card","SHI-D-PL","Lord Shiva, <span>Lord of Mercy and Compassion</span>, Card","
Greeting Card With Matching Envelope"
"Shiva Embellished Card","SHI-3-EMB","Lord Shiva, Hindu Supreme God","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Goddess Shakti Embellished Print","SHAK-EMB-PR","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Custom Print Hand-embellished with Glitter and Crystals"
"Goddess Shakti Print","SHAK-PL-PR","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Custom Print"
"Goddess Shakti Print","SHAK-4-PL-PR","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Shakti 8 X 10 Custom Art Print"
"Angels With Incense Card","ANG-INC-PL","Kneeling Angels With Incense Card","
Greeting Card With Matching Envelope"
"Goddess Shakti Embellished Print","SHAK-4-EMB-PR","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Custom Print Hand-embellished with Glitter and Crystals"
"Goddess Shakti Print","SHAK-3-PL-PR","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Custom Print"
"Goddess Shakti Embellished Print","SHAK-3-EMB-PR","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Custom Print Hand-embellished with Glitter and Crystals"
"Goddess Shakti Print","SHAK-2-PL-PR","Divine Feminine Creative Force: The word Shakti is from Sanskrit ""shak"" or ""to be able."" She is the sacred force or empowerment which is the primordial cosmic energy representing the dynamic forces that move through the entire universe. Shakti is the concept, or personification, of divine feminine creative power, sometimes referred to as ""The Great Divine Mother.""","
Dancing Goddess Shakti 8 X 10 Custom Art Print"
"Savitri Embellished Card","SAV-2-EMB","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope",""
"Goddess Saraswati Embellished Print","SARA-ST-EMB-PR","Saraswati is the Goddess of Creativity, Inspiration &amp; Language. She is the consort of Brahma the Creator and is the Procreatrix or Mother of the entire Creation. Saraswati means ""the flowing one."" She is the personification of all knowledge - arts, language, music, mathematics and science.","
Custom Print Hand-embellished with Glitter and Crystals"
"Goddess Saraswati Print","SARA-ST-PL-PR","Saraswati is the Goddess of Creativity, Inspiration &amp; Language. She is the consort of Brahma the Creator and is the Procreatrix or Mother of the entire Creation. Saraswati means ""the flowing one."" She is the personification of all knowledge - arts, language, music, mathematics and science.","
Custom Print"
"Goddess Saraswati Card","SARA-ST-PL","Goddess Saraswati Playing a Veena Card","
Greeting Card With Matching Envelope"
"Goddess Saraswati Embellished Card","SAR-BD-EMB","Saraswati is the Goddess of Creativity, Inspiration &amp; Language. She is the consort of Brahma the Creator and is the Procreatrix or Mother of the entire Creation. Saraswati means ""the flowing one."" She is the personification of all knowledge - arts, language, music, mathematics and science.","
Greeting Card With Glitter and Crystals, and Matching Envelope"
"Archangel Raphael Print","RAPH-PL-PR","Raphael means ""God Heals."" Archangel Raphael is always enveloped in a beautiful emerald green light. Green is the color of healing. Raphael is above all, the Angel of Healing. But he is also one of the six angels of Repentance, Prayer, Love, Joy and Light. He is said to be both the friendliest and the funniest of the angel flock.","
Custom Print."
"Archangel Raphael Embellished Card","RAP-MOS-EMB","Protector Archangel Raphael Holding a Child's Hand and a Sword, Mosaic Embellished Card","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Archangel Raphael Embellished Print","RAP-MOS-EMB-PR","Archangel Raphael Mosaic Embellished Print
Custom Print, Hand-Embellished With Glitter and Crystals","
Raphael means ""God Heals."" Archangel Raphael is always enveloped in a beautiful emerald green light. Green is the color of healing. Raphael is above all, the Angel of Healing. But he is also one of the six angels of Repentance, Prayer, Love, Joy and Light. He is said to be both the friendliest and the funniest of the angel flock."
"Archangel Michael Embellished Card","MIC-VEC-EMB","Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope",""
"Archangel Michael Embellished Print","MIC-VEC-EMB-PR","Custom Print Hand-embellished with Glitter and Crystals",""
"Archangel Michael Print","MIC-VEC-PL-PR","His name means ""Who is as God."" Michael is the Chief of the Archangels, and is the Angel of Repentance, Righteousness, Mercy and Sanctification. He is also known as ""The Prince of Light,"" a spiritual warrior who wages war against the sons of darkness.","
Custom Print"
"Archangel Michael Embellished Card","MIC-MOS-EMB","Archangel Michael Slaying The Dragon ","
Greeting Card Hand-Embellished With Glitter and Crystals, With Matching Envelope"
"Archangel Michael Embellished Print","MIC-MOS-EMB-PR","Archangel Michael Slaying The Dragon Mosaic Print
<span style=""font-size: 12px; line-height: 14px;"">Custom Print, Hand-Embellished With Glitter and Crystals</span>","
<span style=""font-size: 10px;"">His name means ""Who is as God."" Michael is the Chief of the Archangels, and is the Angel of Repentance, Righteousness, Mercy and Sanctification. He is also known as ""The Prince of Light,"" a spiritual warrior who wages war against the sons of darkness.</span>"
"Archangel Metatron Print","META-PL-PR","The name Metatron is from the Greek Meta+Tron meaning Beyond+Matrix. Metatron is the highest of the angels and serves as the celestial scribe. He is one of the most important angels in the heavenly hierarchy and transmits the daily orders of God to the angels Gabriel and Sammael. He is a member of a special group that is permitted to look at God&sbquo;&Auml;&ocirc;s countenance - an honor most angels do not share. In the literature, Metatron is often referred to as ""the Prince of the Countenance.""","
Custom Print"
"Guardian Angel Embellished Card","GA-EMB","The beloved Guardian Angel.","
Greeting Card Hand-embellished with Glitter and Crystals, with Pearl or Gold Envelope"
"Guardian Angel Card","GA-PL","My Guardian Angel Prayer Card","
Greeting Card With Matching Envelope"
"Kasperovskaya Mother Mary & Child Card","MC-MS-PL","Message Mary, the Russian icon is called the Kasperovskaya Mother. The ""Message"" in the Child's hand has to be delivered by Mother to the people. ","
Greeting Card With Matching Envelope"
"Kasperovskaya Mother & Child Embellished Card","MC-MS-EMB","Message Mary, the Russian Orthodox Icon, is called the Kasperovskaya Mother. The ""Message"" in the Child's hand has to be delivered by Mother to the people. ","
Greeting Card Hand-Embellished With Glitter And Crystals, With Matching Envelope"
"Kasperovskaya Mother & Child Embellished Print","MC-MS-EMB-PR","<span><span>Message Mary, the Russian icon is called the Kasperovskaya Mother. The ""Message"" in the Child's hand has to be delivered by Mother to the people. It was told that the icon became miraculously clear and started to work miracles after an old woman prayed in front of it for relief from her sorrows. The icon is also credited with saving the city during the seige of Odessa during the Crimean War which lasted from 1853-1856.</span></span>","
8 X 10 Custom Print, Hand-Embellished With Glitter And Crystals"
"Mother Mary & Child Print","MC-MS-PL-PR","Message Mary, the Russian icon is called the Kasperovskaya Mother. The ""Message"" in the Child's hand has to be delivered by Mother to the people. It was told that the icon became miraculously clear and started to work miracles after an old woman prayed in front of it for relief from her sorrows. The icon is also credited with saving the city during the seige of Odessa during the Crimean War which lasted from 1853-1856.","
8 1/2 X 11 Custom Art Print"
"Mary & Child Card","MC-FL-PL","Greek Orthodox Mary and Child Card ","
Greeting Card With Matching Envelope"
"Mother Mary & Child Print","MC-FL-PL-PR","""Hail Mary! Again and again we greet the Mother of God and our Mother sweet. We look on that beautiful, loving face so full of glory, so full of grace. And we sigh for the day when we shall rest In thy tender arms, on thy loving breast.
The day when our exile will be past when thou shalt show us thy Child at last.""
~ Cardinal Wiseman","Custom Print"
